[STEP  106] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  107] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  108] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  109] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  110] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  111] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  112] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  113] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  114] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  115] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  116] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  117] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  118] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  119] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  120] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  121] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  122] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  123] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  124] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  125] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  126] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  127] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  128] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  129] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  130] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  131] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  132] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  133] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  134] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  135] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  136] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  137] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  138] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  139] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  140] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  141] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  142] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  143] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  144] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  145] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  146] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
[STEP  147] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v TRI | Bloq:1 | PileSize:5
[STEP  148] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v TRI | Bloq:0 | PileSize:5
[STEP  149] Pos(41, 5) | RGB(255,255,128) -> J_Clair    | Dir:v BAB | Bloq:1 | PileSize:5
[STEP  150] Pos(41, 6) | RGB(175, 98,188) -> NOIR/AUTRE | Dir:v BAB | Bloq:0 | PileSize:5
